file,variant,LR%,TB%,L,R,T,B,autoRot,flag
IMG_0347.HEIC,base,24.8,78.0,27,82,39,11,1.25,NOTE
IMG_0347.HEIC,rot+3,22.7,79.2,10,34,38,10,-2.18,NOTE
IMG_0347.HEIC,rot-3,40.0,16.1,20,30,28,146,1.04,clean
IMG_0347.HEIC,rot+90,22.0,39.1,11,39,25,39,1.65,NOTE
IMG_0347.HEIC,rot+180,58.7,20.8,37,26,11,42,0.99,NOTE
IMG_0347.HEIC,mirrorX,75.7,78.0,84,27,39,11,-1.26,NOTE
IMG_0348.HEIC,base,44.2,42.9,23,29,21,28,1.86,clean
IMG_0348.HEIC,rot+3,53.3,62.1,24,21,18,11,-0.60,NOTE
IMG_0348.HEIC,rot-3,56.7,67.6,34,26,23,11,2.03,NOTE
IMG_0348.HEIC,rot+90,56.0,42.9,28,22,18,24,1.73,clean
IMG_0348.HEIC,rot+180,38.5,40.5,30,48,17,25,0.40,clean
IMG_0348.HEIC,mirrorX,57.7,40.4,30,22,23,34,-1.82,clean
IMG_0349.HEIC,base,21.6,88.2,8,29,82,11,0.89,NOTE
IMG_0349.HEIC,rot+3,37.2,25.6,32,54,11,32,-1.50,NOTE
IMG_0349.HEIC,rot-3,37.6,25.6,32,53,11,32,1.50,NOTE
IMG_0349.HEIC,rot+90,26.8,25.8,11,30,8,23,0.00,NOTE
IMG_0349.HEIC,rot+180,73.3,67.0,22,8,59,29,0.00,NOTE
IMG_0349.HEIC,mirrorX,76.5,90.2,26,8,101,11,-0.94,NOTE
IMG_0350.HEIC,base,39.2,93.4,31,48,155,11,-0.72,NOTE
IMG_0350.HEIC,rot+3,37.7,79.6,26,43,43,11,-2.28,NOTE
IMG_0350.HEIC,rot-3,18.1,67.3,23,104,35,17,0.70,clean
IMG_0350.HEIC,rot+90,27.5,43.2,11,29,35,46,0.00,NOTE
IMG_0350.HEIC,rot+180,61.1,50.0,44,28,11,11,0.67,NOTE
IMG_0350.HEIC,mirrorX,66.3,80.4,61,31,45,11,0.76,NOTE
IMG_0351.HEIC,base,23.7,69.4,9,29,25,11,0.00,NOTE
IMG_0351.HEIC,rot+3,8.4,69.6,8,87,39,17,0.00,NOTE
IMG_0351.HEIC,rot-3,32.9,61.5,23,47,32,20,0.00,NOTE
IMG_0351.HEIC,rot+90,7.5,49.2,11,136,29,30,1.56,NOTE
IMG_0351.HEIC,rot+180,76.2,28.2,32,10,11,28,0.48,NOTE
IMG_0351.HEIC,mirrorX,76.3,69.4,29,9,25,11,0.00,NOTE
IMG_0352.HEIC,base,38.6,78.8,27,43,41,11,0.71,NOTE
IMG_0352.HEIC,rot+3,39.1,79.2,27,42,38,10,-2.25,NOTE
IMG_0352.HEIC,rot-3,26.9,76.7,14,38,33,10,0.92,NOTE
IMG_0352.HEIC,rot+90,21.6,25.9,11,40,14,40,0.00,NOTE
IMG_0352.HEIC,rot+180,60.9,21.6,42,27,11,40,0.79,NOTE
IMG_0352.HEIC,mirrorX,60.0,78.8,42,28,41,11,-0.71,NOTE
IMG_0780.HEIC,base,75.7,39.7,28,9,29,44,1.10,clean
IMG_0780.HEIC,rot+3,75.8,39.1,25,8,25,39,-1.55,NOTE
IMG_0780.HEIC,rot-3,53.2,40.0,25,22,24,36,1.36,clean
IMG_0780.HEIC,rot+90,71.4,49.2,80,32,29,30,0.00,clean
IMG_0780.HEIC,rot+180,21.6,59.5,8,29,44,30,0.88,NOTE
IMG_0780.HEIC,mirrorX,22.2,40.3,8,28,29,43,-1.08,NOTE
IMG_0781.HEIC,base,48.7,36.8,37,39,42,72,0.84,clean
IMG_0781.HEIC,rot+3,50.8,40.7,31,30,33,48,0.00,clean
IMG_0781.HEIC,rot-3,54.2,38.6,26,22,32,51,0.00,NOTE
IMG_0781.HEIC,rot+90,62.7,50.7,74,44,36,35,0.00,clean
IMG_0781.HEIC,rot+180,49.3,76.5,37,38,137,42,0.60,clean
IMG_0781.HEIC,mirrorX,50.0,36.5,38,38,42,73,-0.82,clean
IMG_0782.HEIC,base,44.5,86.0,49,61,37,6,0.40,NOTE
IMG_0782.HEIC,rot+3,30.6,34.8,19,43,24,45,0.00,NOTE
IMG_0782.HEIC,rot-3,62.5,58.9,25,15,66,46,0.83,clean
IMG_0782.HEIC,rot+90,93.8,44.4,76,5,28,35,0.00,NOTE
IMG_0782.HEIC,rot+180,67.4,67.3,58,28,76,37,0.00,clean
IMG_0782.HEIC,mirrorX,54.5,86.0,60,50,37,6,-0.40,NOTE
IMG_0783.HEIC,base,52.6,29.2,41,37,42,102,0.00,clean
IMG_0783.HEIC,rot+3,52.5,41.6,31,28,32,45,0.00,clean
IMG_0783.HEIC,rot-3,57.4,41.7,27,20,30,42,0.00,NOTE
IMG_0783.HEIC,rot+90,64.1,54.2,75,42,39,33,0.00,clean
IMG_0783.HEIC,rot+180,47.9,64.7,35,38,75,41,0.51,clean
IMG_0783.HEIC,mirrorX,47.4,29.2,37,41,42,102,0.00,clean
